Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Requested Bld,Requested Room,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt
CAS MA226 A3,Diff Equations,Blanchard,0,Discussion,14,25,PRB,148,PRB,146,Mon, 2:00pm, 3:00pm,,20215,1/25/2016,4/25/2016
CAS MA226 A4,Diff Equations,Blanchard,0,Discussion,4,25,PRB,148,PRB,146,Mon, 3:00pm, 4:00pm,,20215,1/25/2016,4/25/2016
CAS MA226 A5,Diff Equations,Blanchard,0,Discussion,3,25,CAS,B20,CAS,223,Tue,10:00am,11:00am,,20215,1/19/2016,4/26/2016
CAS MA226 A6,Diff Equations,Blanchard,0,Discussion,3,25,EPC,201,EPC,206,Tue,11:00am,12:00pm,,20215,1/19/2016,4/26/2016
CAS MA226 B1,Diff Equations,Devaney,4,Lecture,10,125,STO,B50,STO,B50,"Tue,Thu", 9:30am,11:00am,,20215,1/19/2016,4/28/2016
CAS MA226 B2,Diff Equations,Devaney,0,Discussion,4,25,CAS,B06B,CAS,228,Tue, 2:30pm, 3:30pm,,20215,1/19/2016,4/26/2016
CAS MA226 B3,Diff Equations,Devaney,0,Discussion,1,25,CAS,237,CAS,237,Tue, 3:30pm, 4:30pm,,20215,1/19/2016,4/26/2016
CAS MA226 B4,Diff Equations,Devaney,0,Discussion,2,25,MCS,B33,MCS,B33,Wed, 9:00am,10:00am,,20215,1/20/2016,4/27/2016
CAS MA226 B5,Diff Equations,Devaney,0,Discussion,0,25,MCS,B33,MCS,B33,Wed,10:00am,11:00am,,20215,1/20/2016,4/27/2016
CAS MA226 B6,Diff Equations,Devaney,0,Discussion,1,25,PSY,B49,PSY,212,Wed, 4:00pm, 5:00pm,,20215,1/20/2016,4/27/2016
CAS MA226 C1,Diff Equations,Hall,4,Lecture,10,100,CAS,B12,CAS,B12,"Mon,Wed,Fri", 9:00am,10:00am,,20215,1/20/2016,4/29/2016
CAS MA226 C2,Diff Equations,Hall,0,Discussion,2,25,EPC,204,EPC,206,Thu,11:00am,12:00pm,,20215,1/21/2016,4/28/2016
CAS MA226 C3,Diff Equations,Hall,0,Discussion,1,25,CAS,228,MCS,B25,Thu, 2:00pm, 3:00pm,,20215,1/21/2016,4/28/2016
CAS MA226 C4,Diff Equations,Hall,0,Discussion,2,25,MCS,B31,MCS,B31,Mon,10:00am,11:00am,,20215,1/25/2016,4/25/2016
CAS MA226 C5,Diff Equations,Hall,0,Discussion,5,25,MCS,B23,MCS,B23,Mon, 1:00pm, 2:00pm,,20215,1/25/2016,4/25/2016
CAS MA230 A1,Honors Mult Cal,Hall,4,Lecture,3,20,MCS,B23,MCS,B23,"Mon,Wed,Fri",12:00pm, 1:00pm,,,1/20/2016,4/29/2016
CAS MA230 A2,Honors Mult Cal,Hall,0,Discussion,3,20,PSY,B50,MCS,B23,Wed, 3:00pm, 4:00pm,,,1/20/2016,4/27/2016
CAS MA242 A1,Linear Algebra,Arazyan,4,Lecture,8,30,MCS,B21,MCS,B21,"Tue,Thu", 9:30am,11:00am,,20215,1/19/2016,4/28/2016
CAS MA242 A2,Linear Algebra,Arazyan,0,Discussion,7,30,MCS,B25,MCS,B25,Tue, 4:00pm, 5:00pm,,20215,1/19/2016,4/26/2016
CAS MA242 B1,Linear Algebra,Previato,4,Lecture,3,30,PSY,B45,PSY,B45,"Tue,Thu", 2:00pm, 3:30pm,,20215,1/19/2016,4/28/2016
CAS MA242 B2,Linear Algebra,Previato,0,Discussion,3,30,PSY,B41,PSY,B41,Mon, 5:00pm, 6:00pm,,20215,1/25/2016,4/25/2016
CAS MA242 C1,Linear Algebra,TBA,4,Lecture,6,30,CAS,B06A,CAS,B18B,"Mon,Wed,Fri", 9:00am,10:00am,,20215,1/20/2016,4/29/2016
CAS MA242 C2,Linear Algebra,TBA,0,Discussion,6,30,MCS,B19,MCS,B19,Wed, 2:00pm, 3:00pm,,20215,1/20/2016,4/27/2016
CAS MA242 D1,Linear Algebra,Kohl,4,Lecture,30,30,PSY,B51,PSY,B51,"Mon,Wed,Fri", 3:00pm, 4:00pm,Class Full,20215,1/20/2016,4/29/2016
CAS MA242 D2,Linear Algebra,Kohl,0,Discussion,29,30,PSY,B51,PSY,B51,Wed, 4:00pm, 5:00pm,,20215,1/20/2016,4/27/2016
CAS MA293 A1,Discrete Math,Chung,4,Lecture,35,35,MCS,B25,MCS,B25,"Tue,Thu", 9:30am,11:00am,Class Full,20215,1/19/2016,4/28/2016
CAS MA293 A2,Discrete Math,Chung,0,Discussion,35,35,PSY,B49,PSY,B49,Mon, 1:00pm, 2:00pm,Class Full,20215,1/25/2016,4/25/2016
CAS MA294 A1,Abstr Algeb,TBA,4,Lecture,9,30,PSY,B39,PSY,B39,"Tue,Thu", 2:00pm, 3:30pm,,20215,1/19/2016,4/28/2016
CAS MA294 A2,Abstr Algeb,TBA,0,Discussion,9,30,CAS,228,CAS,323B,Wed,12:00pm, 1:00pm,,20215,1/20/2016,4/27/2016
CAS MA341 A1,Number Theory,Meuser,4,Lecture,25,30,MCS,B33,MCS,B33,"Tue,Thu", 9:30am,11:00am,,20215,1/19/2016,4/28/2016
CAS MA341 A2,Number Theory,Meuser,0,Discussion,25,30,MCS,B23,CAS,B06B,Fri, 2:00pm, 3:00pm,,20215,1/22/2016,4/29/2016
CAS MA412 A1,Complex Var,Kimura,4,Lecture,50,50,CAS,B36,CAS,B36,"Tue,Thu", 2:00pm, 3:30pm,Class Full,20215,1/19/2016,4/28/2016
CAS MA412 A2,Complex Var,Kimura,0,Discussion,25,25,PSY,B55,PSY,B39,Tue, 4:00pm, 5:00pm,Class Full,20215,1/19/2016,4/26/2016
CAS MA412 A3,Complex Var,Kimura,0,Discussion,22,25,PSY,B47,PSY,B45,Tue, 5:00pm, 6:00pm,,20215,1/19/2016,4/26/2016
CAS MA442 A1,Hon Linear Alg,Bourguin,4,Lecture,4,20,PSY,B50,PSY,B36,"Mon,Wed,Fri",11:00am,12:00pm,,20215,1/20/2016,4/29/2016
CAS MA442 A2,Hon Linear Alg,Bourguin,0,Discussion,4,20,COM,109,COM,109,Wed,10:00am,11:00am,,20215,1/20/2016,4/27/2016
CAS MA505 A1,His of Math,Kanamori,4,Independent,15,35,MCS,B19,MCS,B19,"Tue,Thu",12:30pm, 2:00pm,,20215,1/19/2016,4/28/2016
CAS MA512 A1,Intro Anal 2,Fried,4,Independent,11,30,MCS,B25,MCS,B25,"Mon,Wed,Fri",12:00pm, 1:00pm,,20215,1/20/2016,4/29/2016
CAS MA528 A1,Int to Mod Geom,Previato,4,Independent,8,30,MCS,B33,MCS,B33,"Tue,Thu", 4:00pm, 5:30pm,,20215,1/19/2016,4/28/2016
CAS MA532 A1,Found of Math,Kanamori,4,Independent,10,30,CAS,201,SOC,B59,"Tue,Thu",11:00am,12:30pm,Mts w/CAS PH462 Mts w/GRS PH662,20215,1/19/2016,4/28/2016
CAS MA542 A1,Mod Algebra 2,Weinstein,4,Independent,15,25,CAS,218,CAS,218,"Mon,Wed,Fri", 1:00pm, 2:00pm,,20215,1/20/2016,4/29/2016
CAS MA555 A1,Num Analysis 1,Fried,4,Independent,25,30,PSY,B41,PSY,B41,"Mon,Wed,Fri", 3:00pm, 4:00pm,,20215,1/20/2016,4/29/2016
CAS MA562 A1,Meth App Math 2,TBA,4,Independent,4,30,PSY,B55,MCS,B23,"Tue,Thu", 9:30am,11:00am,,20215,1/19/2016,4/28/2016
CAS MA564 A1,Intro Topology,Szczesny,4,Independent,16,30,MCS,B25,MCS,B25,"Mon,Wed,Fri",11:00am,12:00pm,,20215,1/20/2016,4/29/2016
CAS MA565 A1,Mathmod Lifesci,Vo,4,Independent,18,30,MCS,B23,MCS,B23,"Tue,Thu",11:00am,12:30pm,,,1/19/2016,4/28/2016
CAS MA570 A1,Stoch Methods,Krigman,4,Independent,31,30,PSY,B53,MCS,B33,"Mon,Wed", 9:30am,11:00am,Class Full,20215,1/20/2016,4/27/2016
CAS MA576 A1,Gen Lin Models,Carvalho,4,Independent,22,30,MCS,B25,MCS,B25,"Mon,Wed,Fri", 1:00pm, 2:00pm,,20215,1/20/2016,4/29/2016
CAS MA581 A1,Probability,Salins,4,Lecture,35,80,EPC,205,EPC,205,"Mon,Wed,Fri",10:00am,11:00am,,20215,1/20/2016,4/29/2016
CAS MA581 A2,Probability,Salins,0,Discussion,13,20,MCS,B23,MCS,B23,Mon, 3:00pm, 4:00pm,,20215,1/25/2016,4/25/2016
CAS MA581 A3,Probability,Salins,0,Discussion,5,20,MCS,B31,MCS,B31,Mon, 4:00pm, 5:00pm,,20215,1/25/2016,4/25/2016
CAS MA581 A4,Probability,Salins,0,Discussion,9,20,PSY,B50,PSY,B47,Tue, 2:00pm, 3:00pm,,20215,1/19/2016,4/26/2016
CAS MA581 A5,Probability,Salins,0,Discussion,8,20,PSY,B47,PSY,B47,Tue, 1:00pm, 2:00pm,,20215,1/19/2016,4/26/2016
CAS MA582 A1,Math Stat,Weiner,4,Lecture,90,100,CAS,224,EPC,205,"Mon,Wed,Fri",11:00am,12:00pm,,20215,1/20/2016,4/29/2016
CAS MA582 A2,Math Stat,Weiner,0,Discussion,25,25,PRB,148,PSY,B45,Tue, 3:30pm, 4:30pm,Class Full,20215,1/19/2016,4/26/2016
CAS MA582 A3,Math Stat,Weiner,0,Discussion,17,25,PRB,148,PSY,B35,Tue, 4:30pm, 5:30pm,,20215,1/19/2016,4/26/2016
CAS MA582 A4,Math Stat,Weiner,0,Discussion,23,25,MCS,B33,PSY,B43,Wed, 1:00pm, 2:00pm,,20215,1/20/2016,4/27/2016
CAS MA582 A5,Math Stat,Weiner,0,Discussion,24,25,MCS,B31,PSY,B43,Wed,12:00pm, 1:00pm,,20215,1/20/2016,4/27/2016
CAS MA583 A1,Stochastic Proc,Spiliopoulos,4,Lecture,57,58,CAS,226,EPC,207,"Tue,Thu", 9:30am,11:00am,,20215,1/19/2016,4/28/2016
CAS MA583 A2,Stochastic Proc,Spiliopoulos,0,Discussion,18,18,PSY,B42,PRB,150,Wed, 3:00pm, 4:00pm,Class Full,20215,1/20/2016,4/27/2016
CAS MA583 A3,Stochastic Proc,Spiliopoulos,0,Discussion,Cancelled,Cancelled,,,PRB,146,Wed, 4:00pm, 5:00pm,,20215,1/20/2016,4/27/2016
CAS MA583 A4,Stochastic Proc,Spiliopoulos,0,Discussion,21,20,PSY,B50,PSY,B53,Tue,12:30pm, 1:30pm,Class Full,20215,1/19/2016,4/26/2016
CAS MA583 A5,Stochastic Proc,Spiliopoulos,0,Discussion,10,20,PRB,150,PSY,B53,Tue, 1:30pm, 2:30pm,,20215,1/19/2016,4/26/2016
CAS MA585 A1,Time Series,Gangopadhyay,4,Independent,32,42,MCS,B25,MCS,B25,"Tue,Thu",11:00am,12:30pm,Class Closed,20215,1/19/2016,4/28/2016
CAS ME101 A1,Iss Me Studies,Micallef,1,Independent,0,15,SHA,201,CAS,B18B,Thu, 2:00pm, 3:00pm,,20218,1/21/2016,4/28/2016
CAS NE102 A1,Intr Cel&Mol Bi,Pastorino,4,Lecture,10,102,CAS,224,CAS,224,"Mon,Wed,Fri", 2:00pm, 3:00pm,Mts w/CAS NE116,,1/20/2016,4/29/2016
CAS NE102 B1,Intr Cel&Mol Bi,Hattori,0,Lab,2,17,SCI,444,,,Tue, 9:00am, 1:00pm,,,1/19/2016,4/26/2016
CAS NE102 B2,Intr Cel&Mol Bi,Hattori,0,Lab,4,17,SCI,444,,,Tue, 2:00pm, 6:00pm,,,1/19/2016,4/26/2016
CAS NE102 B3,Intr Cel&Mol Bi,Hattori,0,Lab,0,17,SCI,444,,,Wed, 9:00am, 1:00pm,,,1/20/2016,4/27/2016
CAS NE102 B4,Intr Cel&Mol Bi,Hattori,0,Lab,2,17,SCI,444,,,Thu, 9:00am, 1:00pm,,,1/21/2016,4/28/2016
CAS NE102 B5,Intr Cel&Mol Bi,Hattori,0,Lab,1,17,SCI,444,,,Thu, 2:00pm, 6:00pm,,,1/21/2016,4/28/2016
CAS NE102 B6,Intr Cel&Mol Bi,Hattori,0,Lab,1,17,SCI,444,,,Fri,10:00am, 2:00pm,,,1/22/2016,4/29/2016
CAS NE116 A1,Cellmol&INTLAB1,TBA,4,Lecture,0,20,CAS,224,,,"Mon,Wed,Fri", 2:00pm, 3:00pm,"WebReg Restricted, Mts w/CAS NE102",,1/20/2016,4/29/2016
CAS NE116 L1,Cellmol&INTLAB1,TBA,0,Lab,0,20,SCI,427,,,"Tue,Thu", 9:00am,12:00pm,WebReg Restricted,,1/19/2016,4/28/2016
CAS NE116 L2,Cellmol&INTLAB1,TBA,0,Lab,0,20,SCI,427,,,"Tue,Thu", 5:00pm, 8:00pm,WebReg Restricted,,1/19/2016,4/28/2016
CAS NE202 A1,Cognitive Neuro,Somers,4,Lecture,27,90,LSE,B01,LSE,B01,"Tue,Thu", 2:00pm, 3:30pm,Mts w/CAS PS339 Prereqs: NE101 or PS231 or Consent of Instructor.,20354,1/19/2016,4/28/2016
CAS NE202 A2,Cognitive Neuro,Somers,0,Discussion,8,25,PSY,B41,PSY,B41,Tue,10:00am,11:00am,Mts w/CAS PS339,20354,1/19/2016,4/26/2016
CAS NE202 A3,Cognitive Neuro,Somers,0,Discussion,8,25,PSY,B41,PSY,B41,Tue,11:00am,12:00pm,Mts w/CAS PS339,20354,1/19/2016,4/26/2016
CAS NE202 A4,Cognitive Neuro,Somers,0,Discussion,4,25,PSY,B41,PSY,B41,Thu,10:00am,11:00am,Mts w/CAS PS339,20354,1/21/2016,4/28/2016
CAS NE202 A5,Cognitive Neuro,Somers,0,Discussion,8,15,PSY,B41,PSY,B41,Thu,11:00am,12:00pm,Mts w/CAS PS339,20354,1/21/2016,4/28/2016
CAS NE204 A1,Intromodelbrain,Yazdanbakhsh,4,Lecture,59,85,CAS,B12,HAR,208,"Mon,Wed",11:00am,12:00pm,,20354,1/20/2016,4/27/2016
CAS NE204 B1,Intromodelbrain,Yazdanbakhsh,0,Discussion,30,45,LSE,B03,LSE,B03,Fri,12:00pm, 1:00pm,,20354,1/22/2016,4/29/2016
CAS NE204 B2,Intromodelbrain,Yazdanbakhsh,0,Discussion,28,45,LSE,B03,LSE,B03,Fri, 1:00pm, 2:00pm,,20354,1/22/2016,4/29/2016
CAS NE204 C1,Intromodelbrain,Yazdanbakhsh,0,Lab,28,28,CAS,327,CAS,327,Wed,12:00pm, 1:00pm,Class Full,20354,1/20/2016,4/27/2016
CAS NE204 C2,Intromodelbrain,Yazdanbakhsh,0,Lab,9,28,CAS,327,CAS,327,Fri,12:00pm, 1:00pm,,20354,1/22/2016,4/29/2016
CAS NE204 C3,Intromodelbrain,Yazdanbakhsh,0,Lab,21,35,LSE,B03,LSE,B03,Wed, 4:00pm, 5:00pm,,20354,1/20/2016,4/27/2016
CAS NE212 A1,Brainsci Matlab,Yazdanbakhsh,4,Independent,4,24,CAS,327,,,"Tue,Thu", 3:30pm, 5:00pm,Mts w/CAS PS212,,1/19/2016,4/28/2016
,,,,,,,CAS,327,,,Wed, 5:00pm, 6:30pm,,,,
CAS NE234 A1,Psych of Learn,TBA,4,Lecture,5,20,CAS,211,CAS,211,"Mon,Wed,Fri",11:00am,12:00pm,Mts w/CAS PS234,20354,1/20/2016,4/29/2016
CAS NE234 A2,Psych of Learn,TBA,0,Discussion,2,5,PSY,B51,PSY,B51,Thu,10:00am,11:00am,Mts w/CAS PS234,20354,1/21/2016,4/28/2016
CAS NE234 A3,Psych of Learn,TBA,0,Discussion,2,5,PSY,B37,PSY,B51,Thu,11:00am,12:00pm,Mts w/CAS PS234,20354,1/21/2016,4/28/2016
CAS NE234 A4,Psych of Learn,TBA,0,Discussion,1,5,PSY,B37,PSY,B51,Thu,12:00pm, 1:00pm,Mts w/CAS PS234,20354,1/21/2016,4/28/2016
CAS NE234 A5,Psych of Learn,TBA,0,Discussion,0,5,PSY,B51,PSY,B51,Thu, 1:00pm, 2:00pm,Mts w/CAS PS234,20354,1/21/2016,4/28/2016
CAS NE322 A1,Exp Psych Physi,Cherry,4,Lecture,5,5,SCI,415,SCI,415,Mon, 9:00am,12:00pm,"Mts w/CAS PS322, Class Full",20354,1/25/2016,4/25/2016
CAS NE322 A2,Exp Psych Physi,Cherry,0,Lab,5,5,SCI,415,SCI,415,Wed,10:00am,12:00pm,"Mts w/CAS PS322, Class Full",20354,1/20/2016,4/27/2016
CAS NE333 A1,Drugs & Behavr,Caine,4,Independent,30,30,CAS,313,CAS,313,"Mon,Wed,Fri",12:00pm, 1:00pm,"Mts w/CAS PS333, Class Full",20354,1/20/2016,4/29/2016
CAS NE333 B1,Drugs & Behavr,Kantak,4,Independent,11,20,CAS,211,CAS,211,"Tue,Thu", 3:30pm, 5:00pm,Mts w/CAS PS333,20354,1/19/2016,4/28/2016
CAS NE340 A1,Compmodelaction,Bullock,4,Lecture,5,17,CAS,327,CAS,327,"Tue,Thu",12:30pm, 2:00pm,Mts w/CAS PS340,,1/19/2016,4/28/2016
CAS NE340 B1,Compmodelaction,Bullock,0,Lab,5,17,CAS,327,CAS,327,Wed, 6:30pm, 8:00pm,Mts w/CAS PS340,,1/20/2016,4/27/2016
CAS NE445 A1,Neurophysiology,Lin,4,Lecture,7,7,BRB,121,BRB,121,"Mon,Wed,Fri",10:00am,11:00am,"WebReg Restricted, Permission Required, Mts w/CAS BI445 Mts w/GRS BI645, Class Full",20354,1/20/2016,4/29/2016
CAS NE445 B1,Neurophysiology,Lin,0,Lab,7,7,SCI,446,SCI,446,Fri, 1:00pm, 4:00pm,"WebReg Restricted, Permission Required, Mts w/CAS BI445 Mts w/GRS BI645, Class Full",20354,1/22/2016,4/29/2016
CAS NE499 A1,Human Neuroanat,TBA,4,Independent,19,15,CAS,ARR,CAS,ARR,"Tue,Thu", 4:00pm, 6:00pm,"WebReg Restricted, Meets in CAS 330, Class Full",,1/19/2016,4/28/2016
CAS NE525 A1,Neurobio Diseas,Pastorino,4,Independent,20,20,KCB,103,KCB,102,"Mon,Wed,Fri", 9:00am,10:00am,"Mts w/CAS BI525, Class Full",20354,1/20/2016,4/29/2016
,,,,,,,SAR,104,KCB,102,Wed,10:00am,11:00am,,,,
CAS NE530 A1,Neur Models Mem,Hasselmo,4,Independent,15,15,PSY,B35,PSY,B39,Thu, 2:00pm, 5:00pm,"Mts w/CAS PS530, Class Full",,1/21/2016,4/28/2016
CAS NE542 A1,Neuroethology,Atema,4,Lecture,7,7,BRB,ARR,BRB,ARR,"Tue,Thu", 9:30am,11:00am,"Mts in BRB 219 Mts w/BI542 A1, Class Closed",20354,1/19/2016,4/28/2016
,,,,Discussion,,,BRB,ARR,BRB,ARR,Wed, 2:00pm, 3:00pm,,,,
CAS NS102 A1,Intgrted Sci 2,Garik,4,Lecture,1,18,SED,309,SED,309,"Tue,Thu", 8:30am,11:00am,SED students only.,33110,1/19/2016,4/30/2016
,,,,Lab,,,,,,,Arranged,,,,,,
CAS NS102 B1,Intgrted Sci 2,Garik,4,Lecture,1,18,SED,309,SED,309,"Tue,Thu",12:30pm, 3:00pm,SED Students only.,33110,1/19/2016,4/30/2016
,,,,Lab,,,,,,,Arranged,,,,,,
CAS PH100 A1,Intro to Phil,Crowe,4,Lecture,11,100,CAS,211,CAS,211,"Mon,Wed,Fri",12:00pm, 1:00pm,,20217,1/20/2016,4/29/2016
CAS PH100 A2,Intro to Phil,Crowe,0,Discussion,3,25,CAS,208,CAS,228,Mon, 3:00pm, 4:00pm,,20217,1/25/2016,4/25/2016
CAS PH100 A3,Intro to Phil,Crowe,0,Discussion,1,25,SED,406,SED,208,Tue, 2:00pm, 3:00pm,,20217,1/19/2016,4/26/2016
CAS PH100 A4,Intro to Phil,Crowe,0,Discussion,5,25,SED,406,SED,208,Wed,11:00am,12:00pm,,20217,1/20/2016,4/27/2016
CAS PH100 A5,Intro to Phil,Crowe,0,Discussion,1,25,CAS,B25A,CAS,B06A,Thu, 4:00pm, 5:00pm,,20217,1/21/2016,4/28/2016
CAS PH100 B1,Intro to Phil,Link,4,Lecture,20,100,CAS,313,CAS,313,"Tue,Thu",12:30pm, 2:00pm,,20217,1/19/2016,4/28/2016
CAS PH100 B2,Intro to Phil,Link,0,Discussion,6,25,STH,113,STH,113,Mon, 3:00pm, 4:00pm,,20217,1/25/2016,4/25/2016
CAS PH100 B3,Intro to Phil,Link,0,Discussion,8,25,CAS,228,STH,318,Tue, 2:00pm, 3:00pm,,20217,1/19/2016,4/26/2016
CAS PH100 B4,Intro to Phil,Link,0,Discussion,5,25,CAS,B06B,SAR,104,Wed,12:00pm, 1:00pm,,20217,1/20/2016,4/27/2016
CAS PH100 B5,Intro to Phil,Link,0,Discussion,1,25,STH,318,STH,113,Thu, 3:30pm, 4:30pm,,20217,1/21/2016,4/28/2016
CAS PH150 A1,Intro to Ethics,Katsafanas,4,Lecture,11,100,CAS,313,CAS,313,"Mon,Wed,Fri", 1:00pm, 2:00pm,,20217,1/20/2016,4/29/2016
CAS PH150 A2,Intro to Ethics,Katsafanas,0,Discussion,5,25,PSY,B49,CAS,237,Mon,11:00am,12:00pm,,20217,1/25/2016,4/25/2016
CAS PH150 A3,Intro to Ethics,Katsafanas,0,Discussion,2,25,PSY,B37,PSY,B37,Tue, 2:00pm, 3:00pm,,20217,1/19/2016,4/26/2016
CAS PH150 A4,Intro to Ethics,Katsafanas,0,Discussion,3,25,CAS,228,CAS,228,Wed, 4:00pm, 5:00pm,,20217,1/20/2016,4/27/2016
CAS PH150 A5,Intro to Ethics,Katsafanas,0,Discussion,1,25,STH,B22,STH,B22,Thu, 3:30pm, 4:30pm,,20217,1/21/2016,4/28/2016
CAS PH150 B1,Intro to Ethics,Star,4,Lecture,4,100,CAS,211,CAS,211,"Tue,Thu",11:00am,12:30pm,,20217,1/19/2016,4/28/2016
CAS PH150 B2,Intro to Ethics,Star,0,Discussion,0,25,CAS,322,CAS,426,Mon, 1:00pm, 2:00pm,,20217,1/25/2016,4/25/2016
CAS PH150 B3,Intro to Ethics,Star,0,Discussion,2,25,CAS,225,CAS,218,Tue,12:30pm, 1:30pm,,20217,1/19/2016,4/26/2016
CAS PH150 B4,Intro to Ethics,Star,0,Discussion,2,25,CAS,208,CAS,228,Wed, 3:00pm, 4:00pm,,20217,1/20/2016,4/27/2016
CAS PH150 B5,Intro to Ethics,Star,0,Discussion,0,25,CAS,424,SED,208,Thu, 2:00pm, 3:00pm,,20217,1/21/2016,4/28/2016
CAS PH150 C1,Intro to Ethics,Choe-Smith,4,Lecture,3,50,PSY,B33,CAS,B36,"Tue,Thu", 9:30am,11:00am,,20217,1/19/2016,4/28/2016
CAS PH150 C2,Intro to Ethics,Choe-Smith,0,Discussion,2,25,CAS,214,CAS,223,Mon, 3:00pm, 4:00pm,,20217,1/25/2016,4/25/2016
CAS PH150 C3,Intro to Ethics,Choe-Smith,0,Discussion,1,25,SAR,104,SAR,104,Thu,11:00am,12:00pm,,20217,1/21/2016,4/28/2016
CAS PH159 A1,Phil and Film,Garrett,4,Lecture,11,100,CAS,313,CAS,313,"Mon,Wed,Fri",11:00am,12:00pm,Mts w/COM CI263 Mts w/CAS CI263,,1/20/2016,4/29/2016
CAS PH159 A2,Phil and Film,Garrett,0,Discussion,3,25,CAS,222,CAS,208,Mon, 1:00pm, 2:00pm,Mts w/CAS CI263,,1/25/2016,4/25/2016
CAS PH159 A3,Phil and Film,Garrett,0,Discussion,2,25,EPC,204,EPC,206,Tue,11:00am,12:00pm,Mts w/COM CI263,,1/19/2016,4/26/2016
CAS PH159 A4,Phil and Film,Garrett,0,Discussion,5,25,COM,111,KCB,107,Wed,12:00pm, 1:00pm,,,1/20/2016,4/27/2016
CAS PH159 A5,Phil and Film,Garrett,0,Discussion,1,25,KCB,107,KCB,107,Thu,12:30pm, 1:30pm,,,1/21/2016,4/28/2016
CAS PH160 A1,Reason&Argument,Webb,4,Lecture,20,100,CAS,211,CAS,211,"Mon,Wed,Fri", 9:00am,10:00am,,20217,1/20/2016,4/29/2016
CAS PH160 A2,Reason&Argument,Webb,0,Discussion,8,25,CAS,424,CAS,424,Mon, 4:00pm, 5:00pm,,20217,1/25/2016,4/25/2016
CAS PH160 A3,Reason&Argument,Webb,0,Discussion,5,25,CGS,113,CGS,123,Tue,11:00am,12:00pm,,20217,1/19/2016,4/26/2016
CAS PH160 A4,Reason&Argument,Webb,0,Discussion,5,25,MUG,203,CAS,323A,Thu, 2:00pm, 3:00pm,,20217,1/21/2016,4/28/2016
CAS PH160 A5,Reason&Argument,Webb,0,Discussion,1,25,CAS,214,CAS,221,Wed, 3:00pm, 4:00pm,,20217,1/20/2016,4/27/2016
CAS PH160 B1,Reason&Argument,Anderson,4,Lecture,15,85,CAS,B12,STH,B19,"Tue,Thu", 3:30pm, 5:00pm,,20217,1/19/2016,4/28/2016
CAS PH160 B2,Reason&Argument,Anderson,0,Discussion,6,21,STH,B20,KCB,103,Mon, 2:00pm, 3:00pm,,20217,1/25/2016,4/25/2016
CAS PH160 B3,Reason&Argument,Anderson,0,Discussion,6,21,CAS,212,CAS,204B,Thu, 2:00pm, 3:00pm,,20217,1/21/2016,4/28/2016
CAS PH160 B4,Reason&Argument,Anderson,0,Discussion,2,21,SED,140,CAS,204B,Tue,11:00am,12:00pm,,20217,1/19/2016,4/26/2016
CAS PH160 B5,Reason&Argument,Anderson,0,Discussion,2,22,CGS,313,EPC,204,Wed,11:00am,12:00pm,,20217,1/20/2016,4/27/2016
CAS PH247 A1,Chinese Phil.,Crowe,4,Independent,8,40,KCB,102,CAS,227,"Mon,Wed,Fri", 2:00pm, 3:00pm,,,1/20/2016,4/29/2016
CAS PH248 A1,Existentialism,Katsafanas,4,Independent,15,60,CAS,316,CAS,316,"Mon,Wed,Fri", 3:00pm, 4:00pm,,20217,1/20/2016,4/29/2016
CAS PH251 A1,Medical Ethics,Powell,4,Lecture,40,100,CAS,224,CAS,224,"Tue,Thu", 2:00pm, 3:30pm,,20217,1/19/2016,4/28/2016
CAS PH251 A2,Medical Ethics,Powell,0,Discussion,7,25,CAS,228,CAS,225,Mon, 3:00pm, 4:00pm,,20217,1/25/2016,4/25/2016
CAS PH251 A3,Medical Ethics,Powell,0,Discussion,6,25,CAS,B06A,SED,212,Tue, 9:30am,10:30am,,20217,1/19/2016,4/26/2016
CAS PH251 A4,Medical Ethics,Powell,0,Discussion,18,25,CAS,228,KCB,107,Wed,10:00am,11:00am,,20217,1/20/2016,4/27/2016
CAS PH251 A5,Medical Ethics,Powell,0,Discussion,7,25,CGS,123,CGS,123,Thu,11:00am,12:00pm,,20217,1/21/2016,4/28/2016
CAS PH255 A1,Phil of LAW,Baxter,4,Independent,17,40,CAS,226,CAS,227,"Tue,Thu", 2:00pm, 3:30pm,,,1/19/2016,4/28/2016
CAS PH256 A1,Phil of Sex&Gen,Sreedhar,4,Independent,28,30,CAS,235,CAS,203,"Tue,Thu",12:30pm, 2:00pm,Mts w/CAS PO396,,1/19/2016,4/28/2016
CAS PH259 A1,Phil & the Arts,Dahlstrom,4,Independent,14,40,CAS,201,CAS,203,"Tue,Thu", 9:30am,11:00am,,20217,1/19/2016,4/28/2016
CAS PH266 A1,Mind Brain&Self,Hopp,4,Independent,24,60,CAS,216,CAS,216,"Tue,Thu",12:30pm, 2:00pm,,,1/19/2016,4/28/2016
CAS PH300 A1,Hist Ancient Ph,Gasser,4,Independent,7,30,CAS,228,CAS,228,"Tue,Thu",11:00am,12:30pm,,20217,1/19/2016,4/28/2016
CAS PH300 B1,Hist Ancient Ph,Gasser,4,Independent,11,30,CAS,204B,CAS,204B,"Tue,Thu", 2:00pm, 3:30pm,,20217,1/19/2016,4/28/2016
